생활지수,대분류,중분류,name,도로명주소,지번주소,위도,경도,source_file
life,agency,시청구청,충청남도 천안시청,충청남도 천안시 서북구 번영로 156,,,,life_agency_cheonan.csv
life,agency,시청구청,충청남도 천안시 동남구청,충청남도 천안시 동남구 옛시청길 39,,,,life_agency_cheonan.csv
life,agency,시청구청,충청남도 천안시 서북구청,충청남도 천안시 서북구 성거읍 봉주로 75,,,,life_agency_cheonan.csv
life,agency,행정복지센터,목천읍 행정복지센터,충청남도 천안시 동남구 목천읍 동평1길 15,,,,life_agency_cheonan.csv
life,agency,행정복지센터,광덕면 행정복지센터,충청남도 천안시 동남구 광덕면 신흥리2길 39,,,,life_agency_cheonan.csv
life,agency,시청구청,동면 행정복지센터(임시청사),충청남도 천안시 동남구 동면 동산1길 63,,,,life_agency_cheonan.csv
life,agency,행정복지센터,병천면 행정복지센터,충청남도 천안시 동남구 병천면 병천2로 57,,,,life_agency_cheonan.csv
life,agency,행정복지센터,북면 행정복지센터,충청남도 천안시 동남구 북면 위례성로 724,,,,life_agency_cheonan.csv
life,agency,행정복지센터,성남면 행정복지센터,충청남도 천안시 동남구 성남면 신사대화로 115-8,,,,life_agency_cheonan.csv
life,agency,행정복지센터,수신면 행정복지센터,충청남도 천안시 동남구 수신면 수신로 400,,,,life_agency_cheonan.csv
life,agency,행정복지센터,풍세면 행정복지센터,충청남도 천안시 동남구 풍세면 풍세로 73,,,,life_agency_cheonan.csv
life,agency,행정복지센터,문성동 행정복지센터,충청남도 천안시 동남구 문화로 15,,,,life_agency_cheonan.csv
life,agency,행정복지센터,봉명동 행정복지센터,충청남도 천안시 동남구 봉정로 39,,,,life_agency_cheonan.csv
life,agency,행정복지센터,신방동 행정복지센터,충청남도 천안시 동남구 천안천변길 129-41,,,,life_agency_cheonan.csv
life,agency,행정복지센터,신안동 행정복지센터,충청남도 천안시 동남구 신부3길 16-6,,,,life_agency_cheonan.csv
life,agency,행정복지센터,원성1동 행정복지센터,충청남도 천안시 동남구 충절로 130,,,,life_agency_cheonan.csv
life,agency,행정복지센터,원성2동 행정복지센터,충청남도 천안시 동남구 고재15길 15,,,,life_agency_cheonan.csv
life,agency,행정복지센터,일봉동 행정복지센터,충청남도 천안시 동남구 차돌고개4길 18,,,,life_agency_cheonan.csv
life,agency,행정복지센터,중앙동 행정복지센터,충청남도 천안시 동남구 원성천1길 17,,,,life_agency_cheonan.csv
life,agency,행정복지센터,청룡동 행정복지센터,충청남도 천안시 동남구 청수14로 99,,,,life_agency_cheonan.csv
life,agency,행정복지센터,성거읍 행정복지센터,충청남도 천안시 서북구 봉주로 469,,,,life_agency_cheonan.csv
life,agency,행정복지센터,성환읍 행정복지센터,충청남도 천안시 서북구 성환13길 7,,,,life_agency_cheonan.csv
life,agency,행정복지센터,직산읍 행정복지센터,충청남도 천안시 서북구 삼은4길 2,,,,life_agency_cheonan.csv
life,agency,행정복지센터,입장면 행정복지센터,충청남도 천안시 서북구 입장로 129,,,,life_agency_cheonan.csv
life,agency,행정복지센터,백석동 행정복지센터,충청남도 천안시 서북구 번영로 208,,,,life_agency_cheonan.csv
life,agency,행정복지센터,부성1동 행정복지센터,충청남도 천안시 서북구 두정로 208,,,,life_agency_cheonan.csv
life,agency,행정복지센터,부성2동 행정복지센터,충청남도 천안시 서북구 노태산로 133,,,,life_agency_cheonan.csv
life,agency,행정복지센터,불당1동 행정복지센터,충청남도 천안시 서북구 봉서산로 64,,,,life_agency_cheonan.csv
life,agency,행정복지센터,불당2동 행정복지센터,충청남도 천안시 서북구 불당25로 182,,,,life_agency_cheonan.csv
life,agency,행정복지센터,성정1동 행정복지센터,충청남도 천안시 서북구 성정8길5,,,,life_agency_cheonan.csv
life,agency,행정복지센터,성정2동 행정복지센터,충청남도 천안시 서북구 서부8길 29,,,,life_agency_cheonan.csv
life,agency,행정복지센터,쌍용1동 행정복지센터,충청남도 천안시 서북구 미라10길 21,,,,life_agency_cheonan.csv
life,agency,행정복지센터,쌍용2동 행정복지센터,충청남도 천안시 서북구 쌍용14길 70,,,,life_agency_cheonan.csv
life,agency,행정복지센터,쌍용3동 행정복지센터,충청남도 천안시 서북구 월봉로 138,,,,life_agency_cheonan.csv
life,welfare-facilities-for-elderly,노인복지시설,남천안노인요양원병설재가노인복지센터,충청남도 천안시 동남구 광덕면 차령로 4267,,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,기쁨재가복지센터,"충청남도 천안시 동남구 고재20길 7, 201호 (원성동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,느티나무노인복지센터,충청남도 천안시 동남구 우영3길 22-3 (봉명동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,온맘터치 천안아산점,"충청남도 천안시 서북구 쌍용15길 3, 101호 (쌍용동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,한결요양센터,"충청남도 천안시 동남구 충무로 422, 2층 (영성동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,날마다 청춘 노인복지센터,"충청남도 천안시 동남구 대흥로 90, 201호 (영성동, 영성펜타폴리스25)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,도연 재가노인복지센터,"충청남도 천안시 서북구 불당대로 269, 122호 (쌍용동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,휴웰케어,"충청남도 천안시 동남구 봉명로 46, 2,4층 (봉명동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,해피투게더재가방문요양센터,"충청남도 천안시 동남구 청당2길 118, 108동 207호 (청당동, 청당마을벽산블루밍아파트)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,(A)돕는천사 벧엘 천안지사,"충청남도 천안시 동남구 원거리12길 2, 1층 (원성동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,도솔요양센터,"충청남도 천안시 동남구 충절로 128, 3층 302호 (원성동, 원흥빌딩)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,우리노인주간보호센터,충청남도 천안시 동남구 목천읍 신계1길 23,,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,우리사랑요양원,충청남도 천안시 서북구 축구센터로 67 (성정동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,올리사랑 재가복지센터,"충청남도 천안시 동남구 신촌4로 42, 2층 236호 (신방동, 신방현대프라자)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,금빛사랑 재가장기요양기관,"충청남도 천안시 서북구 성정중1길 31, 2층 (성정동, 삼소빌딩)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,비타민요양원2호,"충청남도 천안시 서북구 성환읍 성환9길 9, 4층 (광성빌딩)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,재가재활 실버나인 주간보호센터,"충청남도 천안시 동남구 신촌1길 12, B1~2층 (신방동, 이삭빌딩)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,실버브릿지 재가복지센터,"충청남도 천안시 동남구 목천읍 충절로 817, 2층",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,늘푸른요양원1,"충청남도 천안시 서북구 늘푸른3길 7-1, 201호 ,301호 (두정동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,감나무요양원,충청남도 천안시 동남구 각원사길 187-22 (안서동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,목천요양원,충청남도 천안시 동남구 목천읍 충절로 1156,,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,아가페요양원,충청남도 천안시 서북구 미라16길 8-10 (쌍용동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,천안노인전문요양원,충청남도 천안시 동남구 정골2길 97 (구성동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,로즈마리너싱홈,충청남도 천안시 동남구 풍세면 미죽로 33-12,,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,더조은 방문요양복지센터,"충청남도 천안시 서북구 노태산로 10, 1층 101호 (두정동, 한양프라자)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,천안도우누리재가노인복지센터,"충청남도 천안시 동남구 다가말2길 86-1, 지하1,지상1,2층 (다가동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,희망재가노인복지센터,"충청남도 천안시 동남구 신원3길 34, 1동 103호 (신부동, 극동아파트)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,늘푸른청춘 노인복지센터,충청남도 천안시 동남구 원거리11길 52 (원성동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,더행복한 재가노인복지센터,"충청남도 천안시 동남구 통정9로 32, 401호 (신방동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,라온노인복지센터,충청남도 천안시 동남구 통정5로 7 (신방동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,"샬롬노인복지센터(방문요양, 방문목욕)","충청남도 천안시 서북구 월봉4로 140-16, 상가동 2층 208호 (쌍용동, 월봉벽산태영아파트)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,아주나 어르신 주야간보호센터ㆍ방문요양,충청남도 천안시 동남구 다가2길 39 (다가동),,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,효마을365요양원,충청남도 천안시 서북구 직산읍 봉주로 137-29,,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,시니어사랑방문요양센터,"충청남도 천안시 서북구 월봉7길 49, 2층 223호 (쌍용동, 효명 리치빌)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,지켜드림재가복지센터,"충청남도 천안시 서북구 직산읍 봉주로 26, 1층",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,살펴드림 재가노인복지센터,"충청남도 천안시 서북구 성정중1길 31, 403호 (성정동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,브니엘방문요양센터,충청남도 천안시 서북구 직산읍 역전말1길 6,,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,어울림방문요양센터,"충청남도 천안시 서북구 성거읍 성거길 82, 102호 (장미아파트 상가동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,행복나무재가복지센터,"충청남도 천안시 서북구 동서대로 17-13, 1층 102호 (백석동)",,,,life_welfare-facilities-for-elderly.csv
life,welfare-facilities-for-elderly,노인복지시설,천안큰사랑방문요양센터,충청남도 천안시 동남구 대흥로 285 (성황동),,,,life_welfare-facilities-for-elderly.csv
