개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,점포구분명,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
4490000,1.98945E+18,1989-09-19,,영업/정상,,,,,,,,성정프라자,그 밖의 대규모점포,I,2025-12-15 16:15,,정상영업,1,1,415513569,,,,충청남도 천안시 성정동 658번지 1   호   ,2007-06-30 10:52
4490000,2.00045E+18,1999-11-18,,영업/정상,,,,,9626,331-280,,(주)메가마트 메가도매센터 천안점,대형마트,U,2026-05-08 3:03,충청남도 천안시 서북구 천안대로 1348 (신당동),정상영업,1,1,415896019,대규모점포,213510.4542,373363.3611,충청남도 천안시 서북구 신당동 452번지 3호,2026-05-07 16:06
4490000,2.00045E+18,1988-12-12,,영업/정상,,,,,0,,,천안역 지하상가,그 밖의 대규모점포,I,2025-12-15 16:15,충청남도 천안시 동남구 버들로 지하 2 (대흥동),정상영업,1,1,415638742,,213180.8752,367585.2127,충청남도 천안시 대흥동 30번지 7호,2011-04-11 17:48
4490000,2.00045E+18,2000-09-01,,영업/정상,,,,,63095,,31120,신세계백화점 천안아산점,백화점,I,2025-12-15 16:15,"충청남도 천안시 동남구 만남로 43, 신세계백화점 천안아산점  (신부동)",정상영업,1,1,416207000,대규모점포,213910.8506,368774.0876,충청남도 천안시 동남구 신부동 354-1 신세계백화점 천안아산점,2021-12-01 13:36
4490000,2.00045E+18,1994-11-29,,영업/정상,,,,,,,,우성(아)단지상가,그 밖의 대규모점포,I,2025-12-15 16:15,,정상영업,1,1,415534781,,,,충청남도 천안시 서북구 직산읍 부송리 산22호   ,2007-06-30 10:52
4490000,2.00045E+18,2000-09-04,,영업/정상,,,,,1023.7,331-090,,롯데쇼핑(주)롯데마트천안점,대형마트,I,2025-12-15 16:15,충청남도 천안시 서북구 월봉로 95 (쌍용동),정상영업,1,1,415852500,대규모점포,210350.366,366539.8324,충청남도 천안시 서북구 쌍용동 1367번지,2020-02-25 15:07
4490000,2.00045E+18,1996-09-14,,영업/정상,,,,,,,,각원사 레저센터,그 밖의 대규모점포,I,2025-12-15 16:15,충청남도 천안시 동남구 각원사길 191 (안서동),정상영업,1,1,415541661,,216933.6526,370279,충청남도 천안시 안서동 159번지 10호   ,2007-06-30 10:52
4490000,2.00045E+18,1997-06-04,,영업/정상,,,,,,,,동우(아)상가,그 밖의 대규모점포,I,2025-12-15 16:15,충청남도 천안시 동남구 목천읍 신계1길 41,정상영업,1,1,,,217238.1283,363423.7896,충청남도 천안시 동남구 목천읍 신계리 422호   ,2007-06-30 10:52
4490000,2.00045E+18,1998-12-12,,영업/정상,,,,,,,,초원그린타운상가,그 밖의 대규모점포,I,2025-12-15 16:15,,정상영업,1,1,415744811,,,,충청남도 천안시 동남구 신방동 77번지 4호   ,2007-06-30 10:52
4490000,2.00045E+18,1999-12-16,,영업/정상,,,,,,,,르씨엘 패션 쇼핑블럭,그 밖의 대규모점포,I,2025-12-15 16:15,충청남도 천안시 동남구 옛시청길 6 (대흥동),정상영업,1,1,415624880,,213134.2021,367288.369,충청남도 천안시 대흥동 165호   ,2007-06-30 10:52
4490000,2.00145E+18,2001-04-13,,영업/정상,,,,,11786,,31180,이마트 천안점,대형마트,I,2025-12-15 16:15,"충청남도 천안시 서북구 충무로 187, E 마트 (쌍용동)",정상영업,1,1,416201052,대규모점포,211285.6413,366082.2268,충청남도 천안시 서북구 쌍용동 191번지 E 마트,2024-04-19 17:53
4490000,2.00345E+18,2003-01-29,,영업/정상,,,,,29438,,,천안산업기자재유통단지,그 밖의 대규모점포,I,2025-12-15 16:15,충청남도 천안시 동남구 신촌로 24 (신방동),정상영업,1,1,415708000,,210769.4829,365154.5529,충청남도 천안시 동남구 신방동 784번지 1  호,2011-06-13 15:38
4490000,2.00445E+18,2004-04-30,,영업/정상,,,,,12126.78,331-170,,롯데쇼핑(주)롯데마트성정점,복합쇼핑몰,U,2026-05-08 3:03,충청남도 천안시 서북구 성정두정로 1 (성정동),정상영업,1,1,416298511,대규모점포,212419.1035,369433.6567,충청남도 천안시 서북구 성정동 1486번지,2026-05-07 16:41
4490000,2.00845E+18,2008-02-11,,영업/정상,,,,,5174,330-943,,캐럿21,쇼핑센터,I,2025-12-15 16:15,,정상영업,1,1,,,213543.7027,368568.4078,충청남도 천안시 신부동 451번지 1호,2010-05-17 10:25
4490000,2.01045E+18,2010-11-29,,영업/정상,,,,,45344.53,331-230,,한화갤러리아(주) 센터시티,백화점,I,2025-12-15 16:15,충청남도 천안시 서북구 공원로 227 (불당동),정상영업,1,1,414115018,대규모점포,209271.9528,366567.801,충청남도 천안시 서북구 불당동 1299번지,2023-11-29 9:54
4490000,2.01045E+18,2010-12-10,,영업/정상,,,,,6138.86,330-160,,이마트  천안터미널점,대형마트,I,2025-12-15 16:15,충청남도 천안시 동남구 만남로 43 (신부동),정상영업,1,1,414111234,대규모점포,213910.8506,368774.0876,충청남도 천안시 동남구 신부동 354번지 1호,2024-04-19 17:52
4490000,2.01145E+18,2011-09-19,,영업/정상,,,,,14805.79,331-300,,이마트 서북점,대형마트,I,2025-12-15 16:15,충청남도 천안시 서북구 삼성대로 20 (백석동),정상영업,1,1,23809422,대규모점포,210827.4596,370795.6531,충청남도 천안시 서북구 성성동 천안물류단지 상A4-1,2024-04-19 17:47
4490000,2.01245E+18,2012-03-20,,영업/정상,,,,,1530,,,(주)지에스리테일 천안점,구분없음,I,2025-12-15 16:15,충청남도 천안시 동남구  충절로  148 (원성동),정상영업,1,1,415652090,준대규모점포,214063.9238,367122.097,충청남도 천안시 동남구 원성동 126번지 3호,2025-04-16 17:05
4490000,2.01245E+18,2012-03-20,,영업/정상,,,,,1437.48,330-160,,롯데쇼핑(주)롯데슈퍼 신부점,구분없음,U,2026-04-29 3:03,충청남도 천안시 동남구 신부7길 5-1 (신부동),정상영업,1,1,416225601,준대규모점포,214077.4467,368217.6895,충청남도 천안시 동남구 신부동 84번지 1호,2026-04-28 10:16
4490000,2.01245E+18,2012-03-28,,영업/정상,,,,,49471,331-230,,펜타포트 복합쇼핑몰,그 밖의 대규모점포,I,2025-12-15 16:15,"충청남도 천안시 서북구 공원로 196 (불당동, 외1)",정상영업,1,1,415233316,대규모점포,208976.4765,366326.6344,충청남도 천안시 서북구 불당동 1289번지 외1,2013-01-02 17:09
4490000,2.01245E+18,2013-06-10,,영업/정상,,,,,13610,331-200,,코스트코 홀세일 천안점,대형마트,I,2025-12-15 16:15,충청남도 천안시 서북구 3공단6로 77 (차암동),정상영업,1,1,226302764,대규모점포,209318.6059,371245.7387,충청남도 천안시 서북구 차암동 제3일반산업단지내 지원시설 B1블럭,2015-12-09 10:46
4490000,2.01345E+18,2013-02-26,,영업/정상,,,,,49516,331-728,,펜타포트 복합쇼핑몰,복합쇼핑몰,I,2025-12-15 16:15,"충청남도 천안시 서북구 공원로 196 (불당동,펜타포트(1~3층))",정상영업,1,1,,대규모점포,208976.4765,366326.6344,충청남도 천안시 서북구 불당동 1289번지 펜타포트(1~3층),2021-12-28 14:14
4490000,2.01345E+18,2013-11-29,,영업/정상,,,,,9248,,,원랜드 패션몰,그 밖의 대규모점포,I,2025-12-15 16:15,충청남도 천안시 서북구 음봉로 891 (백석동),정상영업,1,1,415541111,대규모점포,209375.7724,369243.8289,,2018-05-25 10:05
