도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
중앙도서관,충청남도,천안시,공공도서관,둘째 주 월+넷째 주 월+국가지정공휴일,08:00,22:00,08:00,22:00,08:00,22:00,540,92571,80,507,10,14,충청남도 천안시 동남구 중앙로 118,충청남도 천안시청,041-521-3722,3727,4824,http://www.cheonan.go.kr/lib.do,36.80917505,127.1535917,2026-03-23
쌍용도서관,충청남도,천안시,공공도서관,첫째 주 월+셋째 주 월+국가지정공휴일,08:00,22:00,08:00,22:00,08:00,22:00,659,193093,97,4450,10,14,충청남도 천안시 서북구 월봉4로 153,충청남도 천안시청,041-521-3731,5631,4792,http://www.cheonan.go.kr/lib.do,36.80040702,127.1146227,2026-03-23
성거도서관,충청남도,천안시,공공도서관,둘째 주 월+넷째 주 월+국가지정공휴일,09:00,20:00,09:00,20:00,08:00,22:00,295,82366,39,845,10,14,충청남도 천안시 서북구 성거읍 천흥3길 3,충청남도 천안시청,041-521-3734,2803,1584,http://www.cheonan.go.kr/lib.do,36.87162717,127.2010108,2026-03-23
아우내도서관,충청남도,천안시,공공도서관,첫째 주 월+셋째 주 월+국가지정공휴일,09:00,20:00,09:00,20:00,08:00,22:00,312,72155,40,1474,10,14,충청남도 천안시 동남구 병천면 병천2로 57-2,충청남도 천안시청,041-521-3723,10495,4456,http://www.cheonan.go.kr/lib.do,36.76684262,127.3032646,2026-03-23
도솔도서관,충청남도,천안시,공공도서관,둘째 주 월+넷째 주 월+국가지정공휴일,08:00,22:00,08:00,22:00,08:00,22:00,265,102739,72,1745,10,14,충청남도 천안시 서북구 번영로 156,충청남도 천안시청,041-521-3735,1088,1088,http://www.cheonan.go.kr/lib.do,36.81612985,127.113047,2026-03-23
두정도서관,충청남도,천안시,공공도서관,첫째 주 월+셋째 주 월+국가지정공휴일,08:00,22:00,08:00,22:00,08:00,22:00,148,220178,105,2007,10,14,충청남도 천안시 서북구 부성3길 9,충청남도 천안시청,041-521-3733,16325,6663,http://www.cheonan.go.kr/lib.do,36.83458255,127.1346155,2026-03-23
신방도서관,충청남도,천안시,공공도서관,둘째 주 월+넷째 주 월+국가지정공휴일,08:00,22:00,08:00,22:00,08:00,22:00,808,121606,80,1678,10,14,충청남도 천안시 동남구 통정4로 7,충청남도 천안시청,041-521-3724,12252,5390,http://www.cheonan.go.kr/lib.do,36.77441534,127.1307313,2026-03-23
청수도서관,충청남도,천안시,공공도서관,첫째 주 월+셋째 주 월+국가지정공휴일,08:00,22:00,08:00,22:00,08:00,22:00,780,101671,70,878,10,14,충청남도 천안시 동남구 청수 16로 5-10,충청남도 천안시청,041-521-3725,3219,6263,http://www.cheonan.go.kr/lib.do,36.78946178,127.1563569,2026-03-23
직산도서관,충청남도,천안시,공공도서관,첫째 주 월+셋째 주 월+국가지정공휴일,09:00,20:00,09:00,20:00,08:00,22:00,272,17134,43,0,10,14,충청남도 천안시 서북구 직산읍 삼은4길 12,충청남도 천안시청,041-521-3736,4411,2112,http://www.cheonan.go.kr/lib.do,36.87887862,127.1501874,2026-03-23
원성2동작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,12,9605,5,0,10,14,충청남도 천안시 동남구 원거리8길 43,충청남도 천안시청,041-521-3229,116,116,http://www.cheonan.go.kr/lib.do,36.80016444,127.1581554,2026-03-23
중앙동작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,40,35534,5,0,10,14,충청남도 천안시 동남구 영성로 69-1,충청남도 천안시청,041-566-2639,187,187,http://www.cheonan.go.kr/lib.do,36.80454611,127.149649,2026-03-23
일봉동작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,6,12040,6,0,10,14,충청남도 천안시 동남구 차돌고개4길 18,충청남도 천안시청,041-573-3353,48,48,http://www.cheonan.go.kr/lib.do,36.79912421,127.1353607,2026-03-23
성남면작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,12,8349,5,0,10,14,충청남도 천안시 동남구 성남면 신사대화로 115,충청남도 천안시청,041-622-6665,33,33,http://www.cheonan.go.kr/lib.do,36.7433553,127.233142,2026-03-23
풍세면작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,12,7382,5,0,10,14,충청남도 천안시 동남구 풍세면 상정1길 3,충청남도 천안시청,041-554-5201,100,100,http://www.cheonan.go.kr/lib.do,36.72182167,127.1187681,2026-03-23
광덕작은도서관,충청남도,천안시,작은도서관,토+일요일+국가지정공휴일,08:30,16:30,00:00,00:00,00:00,00:00,24,7116,4,0,10,14,충청남도 천안시 동남구 광덕면 신흥리3길 76,충청남도 천안시청,041-522-0333,165,165,http://www.cheonan.go.kr/lib.do,36.69497428,127.1105853,2026-03-23
신안동작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,18,10079,5,0,10,14,충청남도 천안시 동남구 신부3길 16-6,충청남도 천안시청,041-564-3020,56,56,http://www.cheonan.go.kr/lib.do,36.81746009,127.1601768,2026-03-23
천안축구센터작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,18,12795,6,0,10,14,충청남도 천안시 서북구 축구센터로 150,충청남도 천안시청,041-577-8270,108,108,http://www.cheonan.go.kr/lib.do,36.82144008,127.1457655,2026-03-23
성정1동작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,18,12986,5,935,10,14,충청남도 천안시 서북구 선영8길 7,충청남도 천안시청,041-579-5783,215,215,http://www.cheonan.go.kr/lib.do,36.8150359,127.1428691,2026-03-23
목천느티나무작은도서관,충청남도,천안시,작은도서관,토+일요일+국가지정공휴일,08:30,16:30,00:00,00:00,00:00,00:00,40,6808,4,0,10,14,충청남도 천안시 동남구 목천읍 서리2길 31,충청남도 천안시청,041-522-8018,180,180,http://www.cheonan.go.kr/lib.do,36.78791236,127.2357226,2026-03-23
북면바로내작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,16,5892,5,0,10,14,충청남도 천안시 동남구 북면 위례성로 724-3,충청남도 천안시청,041-557-2332,58.41,58.41,http://www.cheonan.go.kr/lib.do,36.8273821,127.2736819,2026-03-23
차암동작은도서관,충청남도,천안시,작은도서관,월+일요일+국가지정공휴일,10:00,18:00,10:00,18:00,00:00,00:00,31,6488,0,0,10,14,"충청남도 천안시 서북구 2공단5로 36, 2층",충청남도 천안시청,041-563-0701,141.75,141.75,http://www.cheonan.go.kr/lib.do,36.8547301604,127.1203497527,2026-03-23
