번호,인허가일자,영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,관 수
8,2014-12-23,영업/정상,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트,11
14,2006-12-08,영업/정상,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널,10
19,2007-04-02,영업/정상,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안,8
31,2016-06-02,영업/정상,충청남도 천안시 동남구 문화동 101-2,"충청남도 천안시 동남구 중앙로 111 (문화동, 영상미디어센터)",31128,인디플러스 천안,1
32,2016-11-17,영업/정상,충청남도 천안시 동남구 문화동 99-1,"충청남도 천안시 동남구 버들로 41, 지하1층 (문화동, 파리빌딩)",31128,천안인생극장,1
37,2005-07-26,영업/정상,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",31104,주식회사 트리스타 메가박스 천안,9
47,2020-04-09,영업/정상,충청남도 천안시 동남구 성남면 화성리 188-6,충청남도 천안시 동남구 성남면 5산단로 331-17,31244,천안자동차극장,2
49,2021-11-17,영업/정상,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당,6
55,2021-07-23,영업/정상,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 1관,8
63,2022-12-21,영업/정상,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당,6
69,2020-09-23,영업/정상,충청남도 천안시 서북구 불당동 1616 지앤지홀딩스타워 5~8층,"충청남도 천안시 서북구 불당33길 28, 지앤지홀딩스타워 5~8층 (불당동)",31156,씨네큐 천안 불당,4
