시도,시군구,기관명,우편번호,주소
충남,천안시 서북구,충청남도 천안시청,,충청남도 천안시 서북구 번영로 156
충남,천안시 서북구,충청남도 천안시 동남구청,,충청남도 천안시 동남구 옛시청길 39
충남,천안시 동남구,충청남도 천안시 서북구청,,충청남도 천안시 서북구 성거읍 봉주로 75
충남,천안시 동남구,목천읍 행정복지센터,31234,충청남도 천안시 동남구 목천읍 동평1길 15
충남,천안시 동남구,광덕면 행정복지센터,31221,충청남도 천안시 동남구 광덕면 신흥리2길 39
충남,천안시 동남구,동면 행정복지센터(임시청사),31258,충청남도 천안시 동남구 동면 동산1길 63
충남,천안시 동남구,병천면 행정복지센터,31254,충청남도 천안시 동남구 병천면 병천2로 57
충남,천안시 동남구,북면 행정복지센터,31238,충청남도 천안시 동남구 북면 위례성로 724
충남,천안시 동남구,성남면 행정복지센터,31245,충청남도 천안시 동남구 성남면 신사대화로 115-8
충남,천안시 동남구,수신면 행정복지센터,31251,충청남도 천안시 동남구 수신면 수신로 400
충남,천안시 동남구,풍세면 행정복지센터,31217,충청남도 천안시 동남구 풍세면 풍세로 73
충남,천안시 동남구,문성동 행정복지센터,31128,충청남도 천안시 동남구 문화로 15
충남,천안시 동남구,봉명동 행정복지센터,31151,충청남도 천안시 동남구 봉정로 39
충남,천안시 동남구,신방동 행정복지센터,31178,충청남도 천안시 동남구 천안천변길 129-41
충남,천안시 동남구,신안동 행정복지센터,31125,충청남도 천안시 동남구 신부3길 16-6
충남,천안시 동남구,원성1동 행정복지센터,31127,충청남도 천안시 동남구 충절로 130
충남,천안시 동남구,원성2동 행정복지센터,31187,충청남도 천안시 동남구 고재15길 15
충남,천안시 동남구,일봉동 행정복지센터,31154,충청남도 천안시 동남구 차돌고개4길 18
충남,천안시 동남구,중앙동 행정복지센터,31131,충청남도 천안시 동남구 원성천1길 17
충남,천안시 동남구,청룡동 행정복지센터,31198,충청남도 천안시 동남구 청수14로 99
충남,천안시 서북구,성거읍 행정복지센터,31045,충청남도 천안시 서북구 봉주로 469
충남,천안시 서북구,성환읍 행정복지센터,31015,충청남도 천안시 서북구 성환13길 7
충남,천안시 서북구,직산읍 행정복지센터,31037,충청남도 천안시 서북구 삼은4길 2
충남,천안시 서북구,입장면 행정복지센터,31055,충청남도 천안시 서북구 입장로 129
충남,천안시 서북구,백석동 행정복지센터,31157,충청남도 천안시 서북구 번영로 208
충남,천안시 서북구,부성1동 행정복지센터,31106,충청남도 천안시 서북구 두정로 208
충남,천안시 서북구,부성2동 행정복지센터,31088,충청남도 천안시 서북구 노태산로 133
충남,천안시 서북구,불당1동 행정복지센터,31165,충청남도 천안시 서북구 봉서산로 64
충남,천안시 서북구,불당2동 행정복지센터,31156,충청남도 천안시 서북구 불당25로 182
충남,천안시 서북구,성정1동 행정복지센터,31142,충청남도 천안시 서북구 성정8길5
충남,천안시 서북구,성정2동 행정복지센터,31137,충청남도 천안시 서북구 서부8길 29
충남,천안시 서북구,쌍용1동 행정복지센터,31155,충청남도 천안시 서북구 미라10길 21
충남,천안시 서북구,쌍용2동 행정복지센터,31172,충청남도 천안시 서북구 쌍용14길 70
충남,천안시 서북구,쌍용3동 행정복지센터,31166,충청남도 천안시 서북구 월봉로 138
