암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,365열린약국,81,약국,340000,충남,340201,천안서북구,성정동,31109,"충청남도 천안시 서북구 쌍용대로 348, 102호 (성정동)",041-555-2968,2019-10-01 00:00:00,127.1380234,36.8283783
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEyMjIjNTEjJDEjJDYjJDgz,6단지약국,81,약국,340000,충남,340201,천안서북구,성정동,31134,"충청남도 천안시 서북구 쌍용대로 292, 금정빌딩 1층 (성정동)",041-592-6800,2022-04-20 00:00:00,127.1371417,36.8233613
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQxIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,가까운대학약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉명2길 1, 1층 (봉명동)",041-903-9995,2025-04-22 00:00:00,127.1353909,36.8044096
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjNTEjJDEjJDIjJDgz,가까운삼성약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉명4길 15, 101동 상가동 39호 (봉명동, 봉명역센트럴시티아파트)",041-578-1134,2025-04-30 00:00:00,127.1361516,36.8053662
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQxMyQyNjEyMjIjNjEjJDEjJDgjJDgz,가까운약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31174,"충청남도 천안시 서북구 충무로 125, (쌍용동)",041-578-7524,2015-06-15 00:00:00,127.1214264,36.7928023
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQxMyQyNjEyMjIjNDEjJDEjJDQjJDgz,가나다약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31174,"충청남도 천안시 서북구 충무로 131, (쌍용동)",041-577-7508,2008-07-21 00:00:00,127.1219813,36.7930016
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzIxIyQxIyQxIyQxMyQyNjEwMDIjNTEjJDEjJDIjJDgz,가람약국,81,약국,340000,충남,340201,천안서북구,성성동,31078,"충청남도 천안시 서북구 성성8로 14-4, 미주타워 105호 (성성동)",041-554-8788,2011-09-02 00:00:00,127.1287295,36.8403761
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,가온약국,81,약국,340000,충남,340202,천안동남구,청수동,31198,"충청남도 천안시 동남구 청수6로 103, 105호 (청수동)",041-418-5032,2024-07-09 00:00:00,127.1552476,36.7891275
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNzEjJDEjJDgjJDgz,건강누리약국,81,약국,340000,충남,340202,천안동남구,영성동,31130,"충청남도 천안시 동남구 충무로 421, (영성동)",041-621-3366,2007-08-09 00:00:00,127.1519969,36.7986021
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,건강드림약국,81,약국,340000,충남,340201,천안서북구,두정동,31100,"충청남도 천안시 서북구 부성6길 39-11, (두정동, SM빌딩)",041-563-7557,2016-12-06 00:00:00,127.1379086,36.836574
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDQjJDgz,건강백세약국,81,약국,340000,충남,340202,천안동남구,삼룡동,31071,"충청남도 천안시 동남구 충절로 535-3, 1층 (삼룡동)",571-1532,2003-06-30 00:00:00,127.1777318,36.7765935
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzQxIyQxIyQ3IyQ4MiQ0NjE0ODEjODEjJDEjJDYjJDgz,건강약국,81,약국,340000,충남,340201,천안서북구,쌍용동,31180,"충청남도 천안시 서북구 충무로 205, (쌍용동)",041-592-3455,2013-05-30 00:00:00,127.1288032,36.7966603
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzMxIyQyIyQ3IyQwMCQyNjE4MzIjNjEjJDEjJDgjJDgz,건강한이야기가있는다나약국,81,약국,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당23로 70, 정우프라자 117호 (불당동)",041-417-5040,2018-08-21 00:00:00,127.1088025,36.8176272
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxOTYxIzExIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,건민약국,81,약국,340000,충남,340202,천안동남구,구성동,31192,"충청남도 천안시 동남구 충무로 488, (구성동, 건민약국)",041-553-6186,1992-01-22 00:00:00,127.159575,36.7984767
