GRID_CD,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm,center_lon,center_lat,pop_2024_grid,pop_2026_est_int,households_2026_est_int,population_source_grid_count,facility_commerce__commercial_area__total,facility_commerce__commercial_area__market,facility_commerce__commercial_area__shoppingmall,facility_commerce__convstore__total,facility_commerce__convstore__편의점,facility_education__school_older__total,facility_education__school_older__고등학교,facility_education__school_older__중학교,facility_education__school_younger__total,facility_education__school_younger__유치원,facility_education__school_younger__초등학교,facility_education__school_younger__특수학교,facility_leisure__cultural_area__total,facility_leisure__cultural_area__cultural_facility,facility_leisure__cultural_area__library,facility_leisure__cultural_area__live_hall,facility_leisure__cultural_area__museum,facility_leisure__cultural_area__sportandresort,facility_leisure__cultural_area__theater,facility_leisure__park__total,facility_leisure__park__근린공원,facility_leisure__park__문화공원,facility_leisure__park__소공원,facility_leisure__park__수변공원,facility_leisure__park__어린이공원,facility_leisure__park__역사공원,facility_leisure__park__체육공원,facility_life__agency__total,facility_life__agency__시청구청,facility_life__agency__행정복지센터,facility_life__welfare_facilities_for_elderly__total,facility_life__welfare_facilities_for_elderly__노인복지시설,facility_medical__hospital__total,facility_medical__hospital__병원,facility_medical__hospital__보건소,facility_medical__hospital__보건지소,facility_medical__hospital__보건진료소,facility_medical__hospital__상급종합,facility_medical__hospital__요양병원,facility_medical__hospital__의원,facility_medical__hospital__정신병원,facility_medical__hospital__종합병원,facility_medical__hospital__치과병원,facility_medical__hospital__치과의원,facility_medical__hospital__한방병원,facility_medical__hospital__한의원,facility_medical__pharmacy__total,facility_medical__pharmacy__약국
G500_00001,213500.0,447000.0,214000.0,447500.0,213750.0,447250.0,500,center_in_cheonan,34011320,광덕면,127.15371962430773,36.62357025741958,0.0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00002,213500.0,447500.0,214000.0,448000.0,213750.0,447750.0,500,center_in_cheonan,34011320,광덕면,127.15372857180843,36.62807593730892,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00003,213000.0,448000.0,213500.0,448500.0,213250.0,448250.0,500,center_in_cheonan,34011320,광덕면,127.14814708322591,36.63258869636482,0.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00004,213500.0,448000.0,214000.0,448500.0,213750.0,448250.0,500,center_in_cheonan,34011320,광덕면,127.15373752129746,36.63258161378114,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00005,212500.0,448500.0,213000.0,449000.0,212750.0,448750.0,500,center_in_cheonan,34011320,광덕면,127.14256494370665,36.63710119195736,0.0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00006,213000.0,448500.0,213500.0,449000.0,213250.0,448750.0,500,center_in_cheonan,34011320,광덕면,127.14815570919943,36.63709437057585,10.0,8,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00007,213500.0,448500.0,214000.0,449000.0,213750.0,448750.0,500,center_in_cheonan,34011320,광덕면,127.15374647277528,36.63708728683606,10.0,8,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00008,207000.0,449000.0,207500.0,449500.0,207250.0,449250.0,500,center_in_cheonan,34011320,광덕면,127.0810711383983,36.64166459276405,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00009,212500.0,449000.0,213000.0,449500.0,212750.0,449250.0,500,center_in_cheonan,34011320,광덕면,127.14257324601995,36.64160686386452,8.0,6,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G500_00010,213000.0,449000.0,213500.0,449500.0,213250.0,449250.0,500,center_in_cheonan,34011320,광덕면,127.14816433708987,36.6416000413696,0.0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
