GRID_CD,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_lon,center_lat,center_x_central,center_y_central,center_adm_cd,center_adm_nm,adm_nm_norm,pop_2024_grid,households_2026_adm,pop_2026_adm,pop_male_2026_adm,pop_female_2026_adm,pop_2024_adm_sum,grid_count_in_adm,pop_ratio_in_adm_2024,pop_2026_est,pop_2026_est_int,pop_male_2026_est,pop_male_2026_est_int,pop_female_2026_est,pop_female_2026_est_int,households_2026_est,households_2026_est_int,fallback_admin_population_added,fallback_admin_names,fallback_pop_2026_est_added,fallback_pop_male_2026_est_added,fallback_pop_female_2026_est_added,fallback_households_2026_est_added
다바687469,968700.0,1846900.0,968800.0,1847000.0,968750.0,1846950.0,100,official_sgis_100m_center_in_cheonan,127.15051448629005,36.619901578739054,213463.94278475989,446842.4301437626,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바687470,968700.0,1847000.0,968800.0,1847100.0,968750.0,1847050.0,100,official_sgis_100m_center_in_cheonan,127.15051041711278,36.620803062581274,213463.42202754723,446942.46782362484,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바686471,968600.0,1847100.0,968700.0,1847200.0,968650.0,1847150.0,100,official_sgis_100m_center_in_cheonan,127.14938798700344,36.62170126075408,213362.86358508005,447041.984729702,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바687471,968700.0,1847100.0,968800.0,1847200.0,968750.0,1847150.0,100,official_sgis_100m_center_in_cheonan,127.15050634775459,36.62170454628641,213462.9012593076,447042.50550341397,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바688471,968800.0,1847100.0,968900.0,1847200.0,968850.0,1847150.0,100,official_sgis_100m_center_in_cheonan,127.15162470868668,36.621707821322396,213562.93894456126,447043.02627720207,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바687472,968700.0,1847200.0,968800.0,1847300.0,968750.0,1847250.0,100,official_sgis_100m_center_in_cheonan,127.15050227821551,36.622606029854445,213462.38048004647,447142.54318312893,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바688472,968800.0,1847200.0,968900.0,1847300.0,968850.0,1847250.0,100,official_sgis_100m_center_in_cheonan,127.15162065216927,36.62260930499739,213562.41816522653,447143.06396793947,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바689472,968900.0,1847200.0,969000.0,1847300.0,968950.0,1847250.0,100,official_sgis_100m_center_in_cheonan,127.15273902630337,36.622612569643636,213662.45586142896,447143.58475282614,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바687473,968700.0,1847300.0,968800.0,1847400.0,968750.0,1847350.0,100,official_sgis_100m_center_in_cheonan,127.1504982084955,36.623507513285396,213461.85968976017,447242.58086276846,34011320,광덕면,광덕면,8.0,2275,3946,1994,1952,5262.0,8067,0.0015203344735841885,5.999239832763208,6,3.031546940326872,3,2.967692892436336,3,3.458760927404029,4,0,,0,0,0,0
다바688473,968800.0,1847300.0,968900.0,1847400.0,968850.0,1847350.0,100,official_sgis_100m_center_in_cheonan,127.1516165954715,36.623510788535306,213561.89737486493,447243.1016586033,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,5262.0,8067,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
