objt_id,fclty_ty,fclty_cd,fclty_nm,adres,rn_adres,telno,ctprvn_cd,sgg_cd,emd_cd,x,y,data_yr
196266,편의점,509010,새샘편의점,충청남도 천안시 동남구 신방동 1591,충청남도 천안시 동남구 통정5로 108,,44,44131,44131116,14152834.81,4408001.133,2025
196269,편의점,509010,씨유천안주공7단지점,충청남도 천안시 서북구 쌍용동 1284,충청남도 천안시 서북구 쌍용11길 57,,44,44133,44133107,14151557.32,4411679.281,2025
196271,편의점,509010,세븐일레븐천안입장,충청남도 천안시 서북구 입장면 하장리 45-22,충청남도 천안시 서북구 입장면 입장로 149-1,,44,44133,44133310,14162301.47,4427215.734,2025
196273,편의점,509010,씨유풍세광국점,충청남도 천안시 동남구 풍세면 풍서리 448-2,충청남도 천안시 동남구 풍세면 풍세로 131,,44,44131,44131310,14150823.82,4401019.888,2025
196275,편의점,509010,지에스25쌍용베스트점,충청남도 천안시 서북구 쌍용동 977,충청남도 천안시 서북구 미라12길 1,,44,44133,44133107,14151910.47,4411992.378,2025
196276,편의점,509010,지에스25두정부경점,충청남도 천안시 서북구 두정동 663,충청남도 천안시 서북구 늘푸른1길 20,,44,44133,44133104,14151995.56,4415035.548,2025
196277,편의점,509010,씨유나사렛대점，이디아휴게음식,충청남도 천안시 서북구 쌍용동 456,충청남도 천안시 서북구 월봉로 48,,44,44133,44133107,14150823,4410666.206,2025
196283,편의점,509010,씨유신불당,충청남도 천안시 서북구 불당동 1485,충청남도 천안시 서북구 번영로 201,,44,44133,44133103,14149830.43,4413929.11,2025
196288,편의점,509010,지에스25직산레이크점,충청남도 천안시 서북구 직산읍 삼은리 85-7,충청남도 천안시 서북구 직산읍 직산로 41,,44,44133,44133256,14154698.19,4422528.706,2025
196289,편의점,509010,대한민국상이군경회편의시설사업소,충청남도 천안시 서북구 두정동 1394,충청남도 천안시 서북구 성정두정로 62,,44,44133,44133104,14153368.37,4415542.914,2025
196291,편의점,509010,이마트24천안더메인즈타운점,충청남도 천안시 서북구 쌍용동 311-6,충청남도 천안시 서북구 서부대로 471-5,,44,44133,44133107,14151847.06,4412592.22,2025
196292,편의점,509010,지에스25뉴천안드림타워,충청남도 천안시 서북구 두정동 63-33,충청남도 천안시 서북구 1공단1길 13,,44,44133,44133104,14153887.03,4415322.571,2025
196304,편의점,509010,씨유천안백석대조형관점,충청남도 천안시 동남구 안서동 115,충청남도 천안시 동남구 백석대학로 1-1,,44,44131,44131119,14158155.3,4416908.338,2025
