연번,학교급,시군명,읍면동,설립별,학교명,신설휴원,학급수,학생수,우편번호,주소,연락처,팩스번호,비고
1,유치원,천안,성황동,공립,천안초등학교병설유치원,,1,9,31122,충남 천안시 동남구 중앙로 169,041-563-9807,041-568-0763,
3,유치원,천안,원성동,공립,천안남산초등학교병설유치원,,2,22,31132,충남 천안시 동남구 버들1길30,041-556-2910,041-551-8102,
5,유치원,천안,부대동,공립,천안부대초등학교병설유치원,,1,18,31080,충남 천안시 서북구 공대길 37,041-551-2461,041-555-6059,
6,유치원,천안,업성동,공립,천안업성초등학교병설유치원,,1,8,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687,041-583-0600,
7,유치원,천안,청수동,공립,천안청수초등학교병설유치원,,5,43,31190,충남 천안시 동남구 청수로 35-3,041-551-6700,041-551-8954,
8,유치원,천안,원성동,공립,천안신안초등학교병설유치원,,4,35,31125,충남 천안시 동남구 원성25길 21,041-622-7605,041-622-7604,
10,유치원,천안,봉명동,공립,천안봉명초등학교병설유치원,,3,22,31151,충남 천안시 동남구 봉명2길 11,041-576-3236,041-577-3235,
11,유치원,천안,구성동,공립,천안구성초등학교병설유치원,,2,22,31194,충남 천안시 동남구 청수로 126,041-569-8749,041-567-0828,
12,유치원,천안,봉명동,공립,천안봉서초등학교병설유치원,,2,11,31148,충남 천안시 동남구 봉서10길 12,041-577-3327,041-574-8584,
13,유치원,천안,쌍용동,공립,천안미라초등학교병설유치원,,5,23,31155,충남 천안시 서북구 미라2길 13,041-571-0147,041-571-4272,
14,유치원,천안,쌍용동,공립,천안쌍용초등학교병설유치원,,5,36,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618,041-571-8613,
15,유치원,천안,용곡동,공립,천안용소초등학교병설유치원,,1,6,31184,충남 천안시 동남구 일봉로 82-18,041-579-8145,041-579-8139,
16,유치원,천안,청당동,공립,천안청당초등학교병설유치원,,2,21,31211,충남 천안시 동남구 청당2길 94,041-523-2595,041-523-2589,
17,유치원,천안,청당동,공립,천안가온초등학교병설유치원,,2,15,31200,충남 천안시 동남구 청수14로 21,041-522-1732,041-522-1735,
18,유치원,천안,풍세면,공립,풍세초등학교병설유치원,,2,28,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-553-3846,041-566-7444,
19,유치원,천안,풍세면,공립,용정초등학교병설유치원,,1,6,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7188,041-566-0374,
20,유치원,천안,풍세면,공립,미죽초등학교병설유치원,,1,4,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-565-0238,041-566-0118,
21,유치원,천안,광덕면,공립,광덕초등학교병설유치원,,1,6,31221,충남 천안시 동남구 광덕면 신흥리3길 36 ,041-567-6696,041-568-2613,
23,유치원,천안,광덕면,공립,보산원초등학교병설유치원,,1,4,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344,041-568-2976,
24,유치원,천안,목천읍,공립,목천초등학교병설유치원,,1,5,31231,충남 천안시 동남구 목천읍 서리2길 31,041-555-2016,041-556-8896,
25,유치원,천안,목천읍,공립,신계초등학교병설유치원,,1,4,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1163,041-557-8892,
27,유치원,천안,목천읍,공립,신흥초등학교병설유치원,,1,4,31233,충남 천안시 동남구 목천읍 신계5길 27,041-557-0383,041-557-0385,
28,유치원,천안,북면,공립,위례초등학교병설유치원,,1,2,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7363,041-554-3534,도서벽지
29,유치원,천안,북면,공립,은석초등학교병설유치원,,1,3,31242,충남 천안시 동남구 북면 용암3길 10,041-556-4061,041-553-3439,
30,유치원,천안,성남면,공립,성남초등학교병설유치원,,1,4,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032,041-553-8894,
