시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
우정박물관,국립,충청남도 천안시 동남구 양지말길 11-14,충청남도 천안시 동남구 유량동 60-1,36.8139658652,127.1885617847,041-560-5900,우정사업본부,http://www.koreapost.go.kr/postmuseum,,09:00,18:00,00:00,00:00,토+일요일 + 대체공휴일+공휴일,0,0,0,0,"우편뿐 아니라 금융을 포함한 우체국 업무 전반을 소개하고 있으며 집배원복과 우체통의 변천, 세계 각구의 우체통 등을 전시하여 관람객들에게 좋은 볼거리를 제공하고 있습니다.","천안역, 천안버스터미널 → 51번, 52번",041-560-5900,우정사업본부,2024-07-11
천안박물관,공립,충청남도 천안시 동남구 천안삼거리길 27,충청남도 천안시 동남구 삼룡동 261-10,36.78669474,127.1633299,041-521-2891,충청남도 천안시청,http://www.cheonan.go.kr/museum.do,공연장+강의실+매점,09:00,17:00,09:00,17:00,월+1월 1일+설 당일+추석 당일 *2023.11~2025.5(리모델링 공사 휴관),0,0,0,0,"천안삼거리로 유명한 천안은 예로부터 영남과 호남 그리고 충청도 문물과 사람이 만나고 어우러져 하나가 되는 만남과 교류의 장이며, 이해와 화합의 장이었기에 역사적/문화적으로 중요한 장소입니다. 선사유적에서부터 근대에 이르기까지 그동안 감추어져 왔던 천안의 이야기들이 담긴 다양한 유적과 유물들을 만나볼 수 있게 되었습니다. 또한, 기획전시실, 체험하는 어린이 전시실, 공연장, 야외공연장 등에서 다양한 프로그램으로 문화행사가 열려 참여의 기회가 제공될 것 입니다.","천안 IC에서 세종시 방향, 국도 1호선 천안삼거리 앞",041-521-2891,충청남도 천안시청,2024-07-11
천안흥타령관,공립,충청남도 천안시 동남구 천안대로 412,충청남도 천안시 동남구 삼룡동 265-14,36.78478709,127.165631,041-521-3461,충청남도 천안시청,www.cheonan.go.kr/museum.do,,09:00,18:00,09:00,18:00,1월 1일 + 매주 월요일 + 설 당일+ 추석 당일,0,0,0,0,"천안삼거리라는 역사적 명소에 술과 춤이라는 독특한 주제로 건립된 천안흥타령관은 전통주전시설, 전통춤전시실, 기획전시실, 전통주 및 춤체험전시관 등 내부에 다양한 유물을 갖춘 천안의 술과 춤을 한눈에 알 수 있는 전시관이다.","천안역 동부광장 → 700, 702번 버스 → 원삼거리 → 도보 5분",041-521-3461,충청남도 천안시청,2024-07-11
유관순열사기념관,공립,충청남도 천안시 동남구 유관순길 38,충청남도 천안시 동남구 병천면 탑원리 252,36.7600902,127.3083675,041-521-2821,충청남도 천안시청,http://www.cheonan.go.kr/yugwansun.do,문화상품점+매점,09:00,18:00,09:00,18:00,연중무휴,0,0,0,0,유관순열사 기념관은 열사의 탄신 100주년을 기념하여 2003년 4월 1일 개관하였다.,"천안시내에서 진천으로 가는 21번 국도를 따라 18km정도 가면 아우내 장터이고, 이곳에서 진천 쪽으로 300m 지점에 위치",041-521-2821,충청남도 천안시청,2024-07-11
이동녕기념관,공립,충청남도 천안시 동남구 목천읍 동리4길 38,충청남도 천안시 동남구 목천읍 동리 79-2,36.7907152,127.2392868,041-521-2821,충청남도 천안시청,http://www.cheonan.go.kr/leedn.do,,09:00,18:00,09:00,18:00,월+1월 1일+설 당일+추석 당일,0,0,0,0,석오 이동녕 선생의 삶과 사상을 엿볼 수 있음,목천IC → 목천읍사무소 → 이동녕 기념관,041-521-2822,충청남도 천안시청,2024-07-11
독립기념관,사립,충청남도 천안시 동남구 목천읍 독립기념관로 1,충청남도 천안시 동남구 목천읍 남화리 230-1,36.781872,127.2303981,041-560-0500,독립기념관,http://www.i815.or.kr,문화상품점+매점,09:30,18:00,09:30,18:00,월요일,0,0,0,0,뜨거운 민족혼과 대자연의 풍광이 어우러진 겨례의 전당,"경부 고속도로 목천(독립기념관) 나들목에서 2km, 천안나들목에서 국도 21호 이용 시 12km",041-560-0500,독립기념관,2024-07-11
복권박물관,사립,충청남도 천안시 동남구 문암로 283,충청남도 천안시 동남구 안서동 3,36.8487251,127.201708,02-2073-7755,KB국민은행,,,09:00,16:00,00:00,00:00,토+일요일+공휴일,0,0,0,0,국내외 복권자료 전시,버스 700,02-2073-7755,KB국민은행,2024-07-11
도계민화박물관,사립,충청남도 천안시 동남구 정골1길 73-9,충청남도 천안시 동남구 구성동 191-2,36.7927962,127.1722236,041-551-6886,도계민화박물관,,,10:00,18:00,10:00,18:00,월+설 당일+추석 당일,0,0,0,0,전통 민화전시 및 체험,"천안종합터미널정거장 381번, 382번, 390번, 391번 → 구성동 신성미소지움아파트 하차 → 구성5동 방면 도보 5~10분소요",041-551-6886,도계민화박물관,2024-07-11
백석대학교 기독교박물관,대학,충청남도 천안시 동남구 백석대학로 1-1,충청남도 천안시 동남구 안서동 115,36.84044266,127.1845931,041-850-8733,백석대학교,https://community.bu.ac.kr/museum/index.do,,10:00,17:00,00:00,00:00,토+일요일+공휴일,0,0,0,0,"세계 고성경 및 고고유물, 기독교 미술, 교회사 등 관련 유물 전시 수집 보존하고 있음.",KTX역 천안방면 버스정류장에서 13번을 타서 백석대학교 앞에서 하차,041-850-8733,백석대학교,2024-07-11
천안시립미술관,공립,충청남도 천안시 동남구 성남면 종합휴양지로 185,충청남도 천안시 동남구 성남면 용원리 710,36.7561303,127.2248886,041-901-6610,천안문화재단,https://www.camoa.or.kr/,,10:00,18:00,10:00,18:00,월요일+1월 1일+설 당일+추석 당일+전시 준비기간,0,0,0,0,제1종 공립미술관으로서 지역미술이 지닌 역사적 가치를 연구하고 소장품의 수집과 체계적 관리를 통해 지역의 문화자산을 보존,경부고속도로 > 천안JC > 목천IC > 병천방면 우회전 > GS칼텍스 끼고 우회전 > 천안예술의전당/ 대중교통 401번,041-601-6610,천안문화재단,2024-07-11
리각미술관,사립,충청남도 천안시 동남구 태조산길 245,충청남도 천안시 동남구 유량동 4-1,36.82015665,127.186286,070-4111-3463,리각미술관,http://ligak.co.kr/,,11:00,18:00,11:00,18:00,연중무휴,3000,2000,2000,0,이종각 조각가의 예술정신을 엿볼 수 있는 현대미술관,"버스 51,52",070-4111-3463,리각미술관,2024-07-11
백석대학교 기독교박물관,대학,"충청남도 천안시 동남구 백석대학로 1, 창조관 13층",충청남도 천안시 동남구 안서동 393,36.83883721,127.1825206,041-550-9097,백석대학교,https://community.bu.ac.kr/museum/index.do,,09:30,17:30,00:00,00:00,토+일+공휴일,0,0,0,0,"히브리어ㆍ헬라어 등을 비롯하여 세계 여러 나라 고성경(古聖經), 한국초기 성경 교회사와 성경시의 생활과 풍습에 관한 고고유물(考古遺物), 기독교 미술 등 기독교 문화예술이 전시되어 있습니다.","천안 고속버스(시외버스)터미널에서 하차 후, 대로 건너편 버스정류장에서 시내버스(14, 700, 701, 710, 711, 720, 730) 탑승 후 백석대학교에서 하차 (약 10분)",041-550-9097,백석대학교,2024-07-11
