명칭,주소,위도,경도,주요시설
천안종합운동장,"천안시 서북구 번영로 208(백석동, 종합운동장)",,,주경기장+보조경기장+국민체육센터+유관순체육관+실내테니스장+실외테니스장+인라인스케이트장
한들문화센터,"천안시 서북구 음봉로 861-50(백석동, 한들문화센터)",,,수영장+목욕탕+헬스장+필라테스실+이벤트홀
천안축구센터,천안시 서북구 축구센터로 150,,,천연잔디구장+인조잔디구장+풋살구장+세미나실+운전면허학과시험장
천안시실내배드민턴장,천안시 동남구 천안대로 357(청당동 실내배드민턴장),,,관중석+코트+샤워실+선수대기실
천안생활체육야구장,천안시 동남구 천안대로 320,,,야구장+관리사무실+더그아웃+본부석
천안북부스포츠센터,천안시 서북구 성환읍 성환1로 45,,,수영장+헬스장+다목적실+다목적체육관+축구장
시민체육공원,천안시 서북구 불당동 192-3번지,,,풋살장 + 족구장 + 배드민턴장 + 잔디광장 + 자전거 보관대
유관순파크골프장,천안시 서북구 음봉로 861-53,,,파크골프장(36홀)
풍서천파크골프장,천안시 동남구 풍세면 풍서리 676-107,,,파크골프장(18홀)
태조산산림레포츠단지,천안시 동남구 태조산길 261(유량동 6),,,"산림레포츠시설[공중네트, 짚코스터, 숲모험(청소년, 유아)]"
시민체육공원,천안시 서북구 불당동 192-3번지,,,풋살장 + 족구장 + 배드민턴장 + 잔디광장 + 자전거 보관대
도솔공원,천안시 동남구 천안대로 844(신부동),,,잔디광장+야외공연장+시민의숲
