GRID_CD,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_lon,center_lat,center_x_central,center_y_central,center_adm_cd,center_adm_nm,adm_nm_norm,pop_2024_grid,households_2026_adm,pop_2026_adm,pop_male_2026_adm,pop_female_2026_adm,pop_2024_adm_sum,grid_count_in_adm,pop_ratio_in_adm_2024,pop_2026_est,pop_2026_est_int,pop_male_2026_est,pop_male_2026_est_int,pop_female_2026_est,pop_female_2026_est_int,households_2026_est,households_2026_est_int,fallback_admin_population_added,fallback_admin_names,fallback_pop_2026_est_added,fallback_pop_male_2026_est_added,fallback_pop_female_2026_est_added,fallback_households_2026_est_added
다바5651,956000.0,1851000.0,957000.0,1852000.0,956500.0,1851500.0,1000,official_sgis_100m_center_in_cheonan,127.01326203541086,36.66043768316253,201185.70447332674,451330.29150737653,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,4247.0,80,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바5751,957000.0,1851000.0,958000.0,1852000.0,957500.0,1851500.0,1000,official_sgis_100m_center_in_cheonan,127.02445106054518,36.66048288296043,202186.0682918016,451335.50396061246,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,4247.0,80,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바5752,957000.0,1852000.0,958000.0,1853000.0,957500.0,1852500.0,1000,official_sgis_100m_center_in_cheonan,127.02439559814817,36.66949751043943,202180.85528470497,452335.86832711473,34011320,광덕면,광덕면,38.0,2275,3946,1994,1952,4247.0,80,0.00894749234753944,35.30680480339063,35,17.84129974099364,18,17.465505062396986,17,20.355545090652225,20,0,,0,0,0,0
다바5753,957000.0,1853000.0,958000.0,1854000.0,957500.0,1853500.0,1000,official_sgis_100m_center_in_cheonan,127.02434011108761,36.67851212416932,202175.64117590518,453336.2326876393,34011320,광덕면,광덕면,8.0,2275,3946,1994,1952,4247.0,80,0.0018836825994819873,7.433011537555922,7,3.7560631033670826,4,3.676948434188839,4,4.285377913821521,4,0,,0,0,0,0
다바5851,958000.0,1851000.0,959000.0,1852000.0,958500.0,1851500.0,1000,official_sgis_100m_center_in_cheonan,127.03564011033174,36.660527031702244,203186.4332121117,451340.7164198258,34011320,광덕면,광덕면,8.0,2275,3946,1994,1952,4247.0,80,0.0018836825994819873,7.433011537555922,7,3.7560631033670826,4,3.676948434188839,4,4.285377913821521,4,0,,0,0,0,0
다바5852,958000.0,1852000.0,959000.0,1853000.0,958500.0,1852500.0,1000,official_sgis_100m_center_in_cheonan,127.03558595277732,36.66954167359603,203181.22019897262,452341.08188809536,34011320,광덕면,광덕면,18.0,2275,3946,1994,1952,4247.0,80,0.004238285848834471,16.724275959500822,17,8.451141982575935,8,8.273133976924887,8,9.642100306098422,10,0,,0,0,0,0
다바5853,958000.0,1853000.0,959000.0,1854000.0,958500.0,1853500.0,1000,official_sgis_100m_center_in_cheonan,127.03553177113955,36.678556301744045,203176.00608413047,453341.44735025766,34011320,광덕면,광덕면,63.0,2275,3946,1994,1952,4247.0,80,0.01483400047092065,58.53496585825288,58,29.578996939015774,30,28.955968919237108,29,33.747351071344475,34,0,,0,0,0,0
다바5854,958000.0,1854000.0,959000.0,1855000.0,958500.0,1854500.0,1000,official_sgis_100m_center_in_cheonan,127.03547756540732,36.687570916145,203170.79086771453,454341.8128063148,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,4247.0,80,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바5951,959000.0,1851000.0,960000.0,1852000.0,959500.0,1851500.0,1000,official_sgis_100m_center_in_cheonan,127.04682918419057,36.660570129380744,204186.79923425362,451345.92888514523,34011320,광덕면,광덕면,53.0,2275,3946,1994,1952,4247.0,80,0.012479397221568166,49.24370143630799,49,24.883918059806923,25,24.35978337650106,24,28.39062867906758,28,0,,0,0,0,0
다바5952,959000.0,1852000.0,960000.0,1853000.0,959500.0,1852500.0,1000,official_sgis_100m_center_in_cheonan,127.04677633148981,36.66958478534619,204181.5862149412,452346.29545518477,34011320,광덕면,광덕면,208.0,2275,3946,1994,1952,4247.0,80,0.04897574758653167,193.25829997645397,193,97.65764068754414,98,95.60065928890982,96,111.41982575935955,111,0,,0,0,0,0
다바5953,959000.0,1853000.0,960000.0,1854000.0,959500.0,1853500.0,1000,official_sgis_100m_center_in_cheonan,127.04672345528593,36.67859942756907,204176.37209392732,453346.66201898473,34011320,광덕면,광덕면,18.0,2275,3946,1994,1952,4247.0,80,0.004238285848834471,16.724275959500822,17,8.451141982575935,8,8.273133976924887,8,9.642100306098422,10,0,,0,0,0,0
다바5954,959000.0,1854000.0,960000.0,1855000.0,959500.0,1854500.0,1000,official_sgis_100m_center_in_cheonan,127.04667055556807,36.687614056048126,204171.15687134015,454347.02857654914,34011320,광덕면,광덕면,5.0,2275,3946,1994,1952,4247.0,80,0.0011773016246762421,4.645632210972451,5,2.347539439604427,2,2.2980927713680246,2,2.6783611961384506,3,0,,0,0,0,0
다바5955,959000.0,1855000.0,960000.0,1856000.0,959500.0,1855500.0,1000,official_sgis_100m_center_in_cheonan,127.04661763232544,36.69662867078203,204165.94054731092,455347.3951278705,34011320,광덕면,광덕면,0.0,2275,3946,1994,1952,4247.0,80,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0
다바6050,960000.0,1850000.0,961000.0,1851000.0,960500.0,1850500.0,1000,official_sgis_100m_center_in_cheonan,127.05806980646568,36.65159749255694,205192.37828201312,450350.7736785301,34011320,광덕면,광덕면,18.0,2275,3946,1994,1952,4247.0,80,0.004238285848834471,16.724275959500822,17,8.451141982575935,8,8.273133976924887,8,9.642100306098422,10,0,,0,0,0,0
다바6051,960000.0,1851000.0,961000.0,1852000.0,960500.0,1851500.0,1000,official_sgis_100m_center_in_cheonan,127.05801828154176,36.66061217598893,205187.16635823148,451351.1413567055,34011320,광덕면,광덕면,5.0,2275,3946,1994,1952,4247.0,80,0.0011773016246762421,4.645632210972451,5,2.347539439604427,2,2.2980927713680246,2,2.6783611961384506,3,0,,0,0,0,0
다바6052,960000.0,1852000.0,961000.0,1853000.0,960500.0,1852500.0,1000,official_sgis_100m_center_in_cheonan,127.05796673370546,36.66962684568284,205181.9533326137,452351.50902851246,34011320,광덕면,광덕면,23.0,2275,3946,1994,1952,4247.0,80,0.005415587473510714,21.369908170473277,21,10.798681422180364,11,10.571226748292913,11,12.320461502236874,12,0,,0,0,0,0
